"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-67 19:12","0","Goldstein Student Center","Slocum Dr. & Lambreth Lane","http://maps.google.com/maps?f=d&source=s_d&saddr=43.016084,-76.11973&daddr=43.018387,-76.116305"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-67 19:12","1","Slocum Dr. & Lambreth Lane","Small Rd. & Lambreth","http://maps.google.com/maps?f=d&source=s_d&saddr=43.018387,-76.116305&daddr=43.021516,-76.118861"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-67 19:12","2","Small Rd. & Lambreth","Manley South","http://maps.google.com/maps?f=d&source=s_d&saddr=43.021516,-76.118861&daddr=43.022697,-76.126007"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-67 19:12","3","Manley South","Manley North","http://maps.google.com/maps?f=d&source=s_d&saddr=43.022697,-76.126007&daddr=43.026292,-76.128887"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-67 19:12","4","Manley North","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.026292,-76.128887&daddr=43.037288,-76.131468"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-68 19:24","0","Goldstein Student Center","Slocum Dr. & Lambreth Lane","http://maps.google.com/maps?f=d&source=s_d&saddr=43.016084,-76.11973&daddr=43.018387,-76.116305"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-68 19:24","1","Slocum Dr. & Lambreth Lane","Small Rd. & Lambreth","http://maps.google.com/maps?f=d&source=s_d&saddr=43.018387,-76.116305&daddr=43.021516,-76.118861"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-68 19:24","2","Small Rd. & Lambreth","Manley South","http://maps.google.com/maps?f=d&source=s_d&saddr=43.021516,-76.118861&daddr=43.022697,-76.126007"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-68 19:24","3","Manley South","Manley North","http://maps.google.com/maps?f=d&source=s_d&saddr=43.022697,-76.126007&daddr=43.026292,-76.128887"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-68 19:24","4","Manley North","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.026292,-76.128887&daddr=43.037288,-76.131468"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-69 19:36","0","Goldstein Student Center","Slocum Dr. & Lambreth Lane","http://maps.google.com/maps?f=d&source=s_d&saddr=43.016084,-76.11973&daddr=43.018387,-76.116305"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-69 19:36","1","Slocum Dr. & Lambreth Lane","Small Rd. & Lambreth","http://maps.google.com/maps?f=d&source=s_d&saddr=43.018387,-76.116305&daddr=43.021516,-76.118861"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-69 19:36","2","Small Rd. & Lambreth","Manley South","http://maps.google.com/maps?f=d&source=s_d&saddr=43.021516,-76.118861&daddr=43.022697,-76.126007"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-69 19:36","3","Manley South","Manley North","http://maps.google.com/maps?f=d&source=s_d&saddr=43.022697,-76.126007&daddr=43.026292,-76.128887"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-69 19:36","4","Manley North","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.026292,-76.128887&daddr=43.037288,-76.131468"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-70 19:48","0","Goldstein Student Center","Slocum Dr. & Lambreth Lane","http://maps.google.com/maps?f=d&source=s_d&saddr=43.016084,-76.11973&daddr=43.018387,-76.116305"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-70 19:48","1","Slocum Dr. & Lambreth Lane","Small Rd. & Lambreth","http://maps.google.com/maps?f=d&source=s_d&saddr=43.018387,-76.116305&daddr=43.021516,-76.118861"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-70 19:48","2","Small Rd. & Lambreth","Manley South","http://maps.google.com/maps?f=d&source=s_d&saddr=43.021516,-76.118861&daddr=43.022697,-76.126007"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-70 19:48","3","Manley South","Manley North","http://maps.google.com/maps?f=d&source=s_d&saddr=43.022697,-76.126007&daddr=43.026292,-76.128887"
"Route 244 Inbound Weekday S Route 244 Weekday Service Inbound 2011-08-29 to 2012-05-01-70 19:48","4","Manley North","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.026292,-76.128887&daddr=43.037288,-76.131468"
